"questId","keyNum","treasureNum","trapNum","enemyNum",
"10151","1","5","2","15",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10151","1","8","5|10","3:1|","196","3|4",
"10151","2","5","5|10","3:1|","196","3|4",
"10151","3","5","5|10","3:1|","196","3|4",
"10151","4","2","5|10","3:1|","196|196|196|196|197","1|1",
"10151","5","2","5|10","3:1|","196|196|196|197","2|2",
"10151","6","2","5|10","3:1|","196|196|197","1|1",
"10151","!","1","10|15","3:1|","196|196|196|196|197","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10152","2","5","2","15",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10152","1","8","5|10","3:1|","196","3|4",
"10152","2","5","5|10","3:1|","196","4|5",
"10152","3","5","5|10","3:1|","196","5|6",
"10152","4","2","5|10","3:1|","196|196|196|197|197|197|196","1|3",
"10152","5","2","5|10","3:1|","196|196|197|197|197|196","2|3",
"10152","6","2","5|10","3:1|","196|197|197|197|196","3|3",
"10152","!","1","10|15","3:1|","197","1|1",

