"questId","keyNum","treasureNum","trapNum","enemyNum",
"10111","1","5","2","15",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10111","1","8","5|10","3:1|","199","3|4",
"10111","2","5","5|10","3:1|","199","3|4",
"10111","3","5","5|10","3:1|","199","3|4",
"10111","4","2","5|10","3:1|","199|199|199|199|200","1|1",
"10111","5","2","5|10","3:1|","199|199|199|200","2|2",
"10111","6","2","5|10","3:1|","199|199|200","1|1",
"10111","!","1","10|15","3:1|","199|199|199|199|200","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10112","2","5","2","15",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10112","1","8","5|10","3:1|","199","3|4",
"10112","2","5","5|10","3:1|","199","4|5",
"10112","3","5","5|10","3:1|","199","5|6",
"10112","4","2","5|10","3:1|","199|199|199|200|200|200|199","1|3",
"10112","5","2","5|10","3:1|","199|199|200|200|200|199","2|3",
"10112","6","2","5|10","3:1|","199|200|200|200|199","3|3",
"10112","!","1","10|15","3:1|","200","1|1",

